Rep,Constituency,State,Question,Requires Attention,Categories
Idris Bin Ahmad,Bagan Serai,Perak,SOALAN DATUK HAJI IDRIS BIN AHMAD [ BAGAN SERAI ] minta MENTERI PERTANIAN DAN KETERJAMINAN MAKANAN menyatakan langkah-langkah Kerajaan untuk membantu pesawah padi yang terpaksa menanggung beban kenaikan harga baja dan racun.,No,Food Security
Idris Bin Ahmad,Bagan Serai,Perak,SOALAN DATUK HAJI IDRIS BIN AHMAD [ BAGAN SERAI ] minta MENTERI PERTANIAN DAN KETERJAMINAN MAKANAN menyatakan langkah-langkah Kerajaan untuk membantu pesawah padi yang terpaksa menanggung beban kenaikan harga baja dan racun.,No,Food Security
Tan Hong Pin,Bakri,Johor,"SOALAN YB TUAN TAN HONG PIN [ BAKRI ] minta MENTERI PEMBANGUNAN KERAJAAN TEMPATAN menyatakan keputusan atau pandangan Majlis Perancang Fizikal Negara tentang Projek Pembangunan Maharani Energy Gateway yang melibatkan penambakan tiga pulau buatan manusia seluas 1,295 hektar. Nyatakan tindakan yang diambil oleh Kerajaan untuk membantu nelayan dan menyelamatkan paya bakau yang akan terjejas.",Yes,Development;Ocean
Tan Hong Pin,Bakri,Johor,SOALAN YB TUAN TAN HONG PIN [ BAKRI ] minta KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI menyatakan apakah langkah yang diambil oleh Kerajaan untuk membangunkan industri kenderaan elektrik dan membina ekosistem kenderaan elektrik di Malaysia selain daripada insentif cukai.,Yes,Energy Transition;Transportation
Tan Hong Pin,Bakri,Johor,"SOALAN TUAN TAN HONG PIN [ BAKRI ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan rekod NRW dalam pecahan setiap negeri serta tindakan dan peruntukan yang diambil bagi mengurangkan NRW di setiap negeri untuk mengelakkan pembaziran air dan gangguan bekalan air berlaku.",No,Waste
Tan Hong Pin,Bakri,Johor,"SOALAN TUAN TAN HONG PIN [ BAKRI ] minta MENTERI KEWANGAN menyatakan status perkembangan terkini tentang inisiatif Voluntary Carbon Market (VCM) yang dilancarkan di bawah advokasi Bursa Malaysia bagi mencapai ""Negara Sifar Karbon"". Adakah mesyuarat diadakan bersama semua pemegang taruh seperti syarikat-syarikat dan Kerajaan Negeri untuk melancarkan inisiatif VCM.",No,Climate Change;Energy Transition
Tan Hong Pin,Bakri,Johor,"SOALAN TUAN TAN HONG PIN [ BAKRI ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan rekod NRW dalam pecahan setiap negeri serta tindakan dan peruntukan yang diambil bagi mengurangkan NRW di setiap negeri untuk mengelakkan pembaziran air dan gangguan bekalan air berlaku.",No,Water
Tan Hong Pin,Bakri,Johor,minta Menteri Pembangunan Kerajaan Tempatan  menyatakan adakah kementerian bersedia membuat semakan semula mengenai Pelan Pelupusan Sisa Pepejal Negeri Johor 2020-2050 dengan mewujudkan kemudahan pengurusan sisa pepejal tempatan/modular mengikut daerah bagi menggantikan pelan asal dengan kemudahan pengurusan sisa pepejal secara berpusat untuk mengurangkan isu tapak haram dan kos pengurusan sisa pepejal.,No,Waste
Muhammad Bakhtiar Bin Wan Chik,Balik Pulau,Pulau Pinang,"SOALAN DATO' MUHAMMAD BAKHTIAR BIN WAN CHIK [ BALIK PULAU ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan kedudukan dan ketersediaan Kementerian dalam merangka polisi yang mampan bagi berdepan dengan isu perubahan iklim.",No,Climate Change
Hassan Bin Saad,Baling,Kedah,"SOALAN TUAN HASSAN BIN SAAD [ BALING ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan perkembangan terkini projek pemuliharaan sungai untuk mengurangkan risiko banjir di bawah RMK-12 bagi negeri Kedah khususnya melibatkan kerja menstabilkan tebing dan pengaluran sungai.",Yes,Flood
Hassan Bin Saad,Baling,Kedah,"SOALAN TUAN HASSAN BIN SAAD [ BALING ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan perencanaan jangka panjang Kementerian untuk mengurangkan impak daripada bencana alam seperti banjir besar yang melanda penghujung tahun 2021.",No,Climate Disaster;Flood
Hassan Bin Saad,Baling,Kedah,"SOALAN TUAN HASSAN BIN SAAD [ BALING ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan perkembangan terkini projek rancangan tebatan banjir (RTB) di negeri Kedah terutamanya melibatkan pembangunan Empangan Sabo dan Perkampungan Iboi bagi mengatasi masalah banjir yang kerap berlaku.",Yes,Development;Flood
Kelvin Yii Lee Wuen,Bandar Kuching,Sarawak,"Terima kasih Tuan Yang di- Pertua, terima kasih Yang Berhormat Timbalan Menteri. Yang Berhormat  Menteri Sumber Asli, Alam Sekitar dan Perubahan Iklim, saya ingin membawa kepada perhatian Yang Berhormat Menteri tentang kepentingan Pembangunan Lembangan Sungai Bersepadu (PLSB) Sungai Sarawak, yang berjumlah RM 150 juta untuk menangani isu banjir dan banjir kilat yang dialami oleh penduduk- penduduk di kawasan bandar Kuching. Yang Berhormat Timbalan Menteri seperti yang diketahui, baru-baru ini juga ada satu banjir kilat yang teruk sampai Sarawak General Hospital pun dilanda banjir kilat dan banyak peralatan dan isu rosak disebabkan tragedi tersebut. Jadi projek bernilai RM150 juta ini sepatutnya meliputi sembilan buah lokasi projek termasuk menaik taraf saliran di lima buah lokasi termasuk Hospital  Umum Sarawak (SGH), Kuarters Kerajaan di Jalan Tun Jugah, kawasan Batu Lintang, SK Muara Tuang, Samarahan dan juga saliran sepanjang Jalan Kuching- Samarahan Expressway. Selain itu, terdapat juga projek pembinaan tebatan banjir di sepanjang Sungai Gersik, Sungai Sinjan dan juga pengorekan dan pendalaman Sungai Tengah dan Sungai Minjab. Tuan Yang di-Pertua, berdasarkan taklimat yang diberikan kepada saya pada tahun sebelum ini, proses perancangan projek dan juga tender pelantikan kontraktor sepatutnya telah dimuktamadkan pada November 2019 dan proses reka bentuk terperinci termasuk pengambilan tanah akan dijalankan dari Disember 2019 hingga Disember 2020. Pembinaan fizikal projek itu sepatutnya dimulakan pada 2021 dan dijangka mengambil masa kira-kira empat tahun. Bagaimanapun, berdasarkan maklumat terkini, projek tersebut telah ditangguhkan lagi dengan pemberian tender kepada Perunding Kejuruteraan Jurutera Jasa hanya dilakukan pada Februari 2020 untuk melakukan perancangan dan lukisan awal sebelum juruukur dipilih pada April 2021. Pada masa ini semua rancangan dan lukisan telah disiapkan dan dikemukakan untuk kelulusan Lembaga Perancang Sarawak (SPA) pada penghujung tahun 2021. Jadi hanya dengan kelulusan SPA dan penyiapan Value Engineering (VE) barulah tender dipanggil untuk sembilan buah lokasi projek yang mungkin berlaku sekitar Mei atau April 2022. Ini bermakna pembinaan fizikal hanya boleh dimulakan pada penghujung 2022, dengan projek dijangka siap dalam tiga, lima hingga empat tahun. Oleh yang demikian, saya berharap Yang Berhormat Menteri boleh membentangkan status terkini projek tersebut kerana ini satu isu yang sangat penting dan juga jika boleh menyegerakan projek tersebut untuk kepentingan warga bandar Kuching. Sekian, terima kasih.",No,Development;Flood
Kelvin Yii Lee Wuen,Bandar Kuching,Sarawak,"Terima kasih Tuan Yang di- Pertua dan terima kasih Yang Berhormat Timbalan Menteri atas jawapan tadi tetapi saya hendak tanya satu lagi soalan kepada Yang Berhormat Timbalan Menteri, juga rakan saya dari Sarawak. Terima kasih Yang Berhormat Menteri Pengangkutan, saya ingin membawa perhatian kepada kepentingan Perjanjian Stage Bus Services Transformation (SBST) di Kuching sebagai satu langkah untuk menambah baik kemudahan pengangkutan awam di kawasan bandar Kuching. Sebagai konteks, Perjanjian SBST telah ditandatangani di antara Kerajaan Persekutuan dengan operator rangkaian pada 22 November 2017 dengan tempoh pelaksanaan kontrak selama lima tahun. Ia telah diselaraskan oleh Bahagian Pembangunan, Jabatan Perdana Menteri pada masa itu. Di peringkat negeri Sarawak, Kementerian Pembangunan Infrastruktur dan Pengangkutan (MIDT) merupakan agensi pelaksana SBST dengan kerjasama Jabatan Perdana Menteri. Perkhidmatan bas ini sepatutnya dijangka akan mula beroperasi pada bulan Januari 2019, sepatutnya.   ■1450  Di bawah pelan SBST tersebut juga, jumlah 130 buah bas biodiesel berhawa dingin dengan kapasiti 55 penumpang akan disediakan lengkap dengan ciri-ciri mesra OKU, sistem wifi, sistem kedudukan global GPS, sistem tiket eletronik dengan penggunaan kad pintar untuk keselesaan pengguna. Di bawah pelan SBST tersebut juga, sejumlah 130 buah bas tersebut akan meliputi keseluruhan jarak sepanjang 560 kilometer, sejumlah 27 laluan dan 12 laluan pengantara dengan kadar operasi yang ditetapkan dalam perjanjian kontrak. Jumlah yang akan dibayar mengikut kontrak SBST ini adalah sebanyak RM45 juta setahun. Namun, saya juga ingin tahu status perjanjian tersebut sebenarnya tidak dilakukan.  Jadi, saya hendak tahu, apakah status kenapa ia tidak dilakukan?  Jika ada, apakah halangan dan sebab-sebab ia tidak berlaku? Selain itu, dalam ucapan Belanjawan 2023, Kerajaan Pusat menyediakan RM150 juta untuk memperluas pelaksanaan program SBST ke bandar Melaka, Kuching dan Kota Kinabalu. Saya ingin bertanya tentang berapakah yang akan diagihkan ke Kuching dan apakah pelan pelaksanaan perjanjian tersebut serta jangka masa yang ditetapkan. Oleh yang demikian, saya berharap Yang Berhormat Timbalan Menteri boleh membentangkan status terkini perjanjian tersebut dan juga pelan kerajaan untuk menambah baik kemudahan pengangkutan awam di Kuching dan Sarawak. Sekian, terima kasih.",No,Transportation;Development
Kelvin Yii Lee Wuen,Bandar Kuching,Sarawak,"SOALAN DR. KELVIN YII LEE WUEN [ BANDAR KUCHING ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan tentang perkembangan Projek Pembangunan Lembangan Sungai Bersepadu (PLSB) Sungai Sarawak, jangka masa ia akan disiapkan dan sebab projek ini telah tertangguh dari jangka masa yang sepatutnya.",No,Development
Wan Azizah Wan Ismail,Bandar Tun Razak,Kuala Lumpur,"SOALAN Minta PERDANA MENTERI menyatakan : (a) cerun telah menimbulkan bencana dan mengakibatkan kehilangan nyawa. Apakah langkah pencegahan cerun diambil Agensi Pengurusan Bencana Negara (NADMA); dan (b) apakah analisis keberkesanan untuk bencana pada masa hadapan dan pemantauan secara rutin di tapak, pemeriksaan oleh pihak berkuasa tempatan. 1",No,Climate Disaster
Syahredzan Bin Johan,Bangi,Selangor,"Tuan Yang di-Pertua, saya ingin memohon perhatian Kementerian Sumber Asli, Alam Sekitar dan Perubahan Iklim berhubung isu tapak pembuangan sampah haram di Taman Pusara, Twin Palms Sungai Long yang berada di dalam kawasan Parlimen Bangi selama beberapa tahun dan pernah mendapat liputan media susulan insiden kebakaran yang berlaku pada tahun 2019 dan terkini pada tahun 2022. Operasi Penutupan Selamat telah dijalankan selama 39 hari bermula 14 Julai sehingga 21 Ogos 2022 untuk memadamkan api di tapak tersebut. Kawasan yang terbakar adalah cerun yang membabitkan kepanjangan 500 kaki, kelebaran 400 kaki, dan ketinggian sehingga 150 kaki. Dengan kesempatan ini saya ingin mengucapkan terima kasih kepada semua agensi yang terlibat dalam operasi ini. Pejabat Daerah dan Tanah Hulu Langat telah memulakan proses pelucuthakan tanah dengan mengeluarkan Notis 7A mengikut Kanun Tanah Negara supaya pemilik tanah memulihkan tapak berkenaan. Namun, proses sehingga rampasan tanah dapat dilaksanakan ini adalah amat mengambil masa. Di samping itu, Majlis Perbandaran Kajang sebagai Pihak Berkuasa Tempatan telah membuat korekan dan meletakkan penghadang konkrit untuk memutuskan laluan keluar-masuk ke tapak berkenaan. Sitaan kenderaan juga dilaksanakan terhadap lori yang cuba membuang sampah. Alhamdulillah, setakat ini tiada aktiviti pembuangan dan longgokan sampah baharu yang dikesan. Tindakan yang sewajarnya telah diambil terhadap pemilik tanah dan pembuangan sampah tetapi masalahnya kita tidak ada peruntukan undang- undang tegas yang boleh dikenakan kepada pengusaha sampah haram yang menceroboh dan menggunakan tanah orang lain. Pengusaha ini akan terus mencari lokasi yang lain untuk mengoperasikan tapak pembuangan sampah haram yang baharu. Menurut laporan media bertarikh 18 Julai 2022, tiga orang individu yang merupakan penjaga tapak pembuangan sampah haram dan rakan kongsi perniagaan yang menyewa tapak tersebut telah ditahan oleh Jabatan Alam Sekitar bagi siasatan kerana melanggar Akta Kualiti Alam Sekeliling 1974. Saya berharap kementerian dapat menyatakan hasil siasatan dan tindakan susulan yang telah, sedang dan akan diambil. Kaedah korek dan padam telah diguna pakai untuk melenyapkan api di tapak pembuangan sampah haram ini. Walau bagaimanapun, saya masih  menerima banyak aduan daripada penduduk-penduduk berhampiran bahawa mereka terdedah dengan bau asap yang meloyakan. Saya dimaklumkan bahawa asap busuk ini dikeluarkan bukan kerana pembakaran terbuka tetapi melalui reaksi kimia dari sampah yang ditanam di bawah tanah. Mohon pencerahan tentang keadaan ini dan risiko kesihatan yang akan dihadapi oleh penduduk. Jasa baik kementerian melalui Jabatan Alam Sekitar untuk memantau dan mengambil tindakan untuk memastikan kualiti udara di kawasan perumahan sekitar amat diperlukan.  Sekian, terima kasih.",Yes,Pollution;Waste;Air
Syahredzan Bin Johan,Bangi,Selangor,"SOALANTUAN SYAHREDZAN BIN JOHAN [BANGI] minta MENTERI KERJARAYA menyatakan status pembinaan serta tarikh jangka siap danpembukaan bagi lebuh raya East Klang Valley Expressway (EKVE) sertasenarai kes-kes banjir kilat, banjir lumpur, hakisan tanah, pencemaran dansebagainya yang telah dikenal pasti berpunca daripada kerja-kerjapembinaan EKVE bersama tindakan yang diambil.",No,Development;Flood;Landslide
Syahredzan Bin Johan,Bangi,Selangor,"SOALAN TUAN SYAHREDZAN BIN JOHAN [ BANGI ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan status terkini projek tebatan banjir yang melibatkan kawasan-kawasan sepanjang Sungai Langat sebagai penyelesaian jangka panjang mengatasi banjir.",No,Development;Flood
Syahredzan Bin Johan,Bangi,Selangor,"SOALAN TUAN SYAHREDZAN BIN JOHAN [ BANGI ] minta MENTERI PENGANGKUTAN menyatakan sama ada terdapat perancangan untuk menyediakan 10,000 buah bas tambahan bagi seluruh negara, untuk menambah baik jaringan dan keberkesanan pengangkutan awam terutama sekali di kawasan bandar.",Yes,Transportation
Anyi Ngau,Baram,Sarawak,"SOALAN DATO ANYI NGAU [ BARAM ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan rancangan dan projek-projek pihak Kementerian untuk menangani masalah-masalah banjir yang sering berlaku di kawasan Parlimen Baram sejak kebelakangan ini.",No,Flood
Anyi Ngau,Baram,Sarawak,SOALAN DATO ANYI NGAU [BARAM] minta MENTERI KESIHATAN menyatakan apakah status/jadual perlaksanaan kerja pembaikan Klinik Kesihatan Long Lama Baram yang mengalami kerosakan akibat kejadian tanah runtuh beberapa tahun lepas serta status/jadual perlaksanaan Klinik Kesihatan Long San Baram yang telah diluluskan pihak Kerajaan sebelum ini.,Yes,Climate Disaster
Anyi Ngau,Baram,Sarawak,minta Perdana Menteri menyatakan apakah jenis dan nilai  bantuan yang disalurkan kepada mangsa-mangsa bencana alam seperti banjir dan  kebakaran tempat kediaman pada masa sekarang ini.,No,Climate Disaster;Flood
Mohamad Shafizan Kepli,Batang Lupar,Sarawak,"SOALAN TUAN MOHAMAD SHAFIZAN HAJI KEPLI [ BATANG LUPAR ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan status terkini pelaksanaan projek tebatan banjir dan kawalan hakisan pantai di Kampung Semarang serta kawasan-kawasan lain di Parlimen Batang Lupar.",Yes,Development;Flood
Rodiyah Binti Sapiee,Batang Sadong,Sarawak,"SOALAN Minta MENTERI SAINS, TEKNOLOGI DAN INOVASI menyatakan peranan penting bidang sains, teknologi dan inovasi dalam menangani cabaran yang dihadapi masyarakat serta negara seperti perubahan iklim, jaminan makanan dan penyakit berjangkit.",No,Climate Change;Food Security
Chow Kon Yeow,Batu Kawan,Pulau Pinang,"SOALAN TUAN CHOW KON YEOW [ BATU KAWAN ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan inisiatif Kementerian dalam mengatasi peningkatan bilangan kenderaan tidak mesra alam (pengangkutan berasaskan bahan api fosil seperti petrol dan gas) yang mencetuskan pelbagai isu alam sekitar antaranya pemanasan global, pencemaran Gas Rumah Hijau (GHG) dan lain-lain. Apakah yang dilakukan/perancangan Kementerian dalam menghadapi krisis iklim bagi tempoh 2018 hingga 2023. Senaraikan juga insentif-insentif yang diberikan/ditawarkan kepada Kerajaan Negeri yang melaksanakan agenda hijau pada tempoh sama.",Yes,Energy Transition;Fossil Fuel;Transportation
Chow Kon Yeow,Batu Kawan,Pulau Pinang,"SOALAN TUAN CHOW KON YEOW [ BATU KAWAN ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan pelaksanaan projek pembesaran Empangan Mengkuang Fasa 2B, adakah ia akan siap sebagaimana dijadualkan pada 13 Februari 2023. Jelaskan juga sebab Fasa 2C iaitu pembinaan Stesen Pam Lahar Yooi yang dinyatakan tidak berdaya maju untuk dilaksanakan memandangkan ia merupakan keperluan terutamanya selepas insiden banjir di Baling, Kedah. Apakah penyelesaian alternatif yang akan diambil.",No,Development;Flood
Chow Kon Yeow,Batu Kawan,Pulau Pinang,"SOALAN TUAN CHOW KON YEOW [ BATU KAWAN ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan tindakan lanjut pihak Kementerian berhubung pelaksanaan Skim Penyaluran Air Mentah Sungai Perak (SPRWTS) yang telah tertangguh selama 12 tahun. Ini adalah berdasarkan Laporan Akhir Skim Pemindahan Air dari Sungai Perak untuk Bekalan Air Utara Perak dan Negeri Pulau Pinang (SPRWTS) bertarikh 13 September 2022 yang mana merumuskan bahawa kapasiti sebanyak 700 juta liter sehari (jlh) boleh diperoleh dari Sungai Perak untuk negeri Pulau Pinang.",No,Water
